organoid_type	doi	pmcid	first_author	year	journal	species	source_cell_type	license	has_methods	has_supplement	gold_candidate	flags	notes
esophageal	10.3390/biom14091126	PMC11430971	Shimonosono	2024	Biomolecules	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.1186/s40104-024-01084-7	PMC11443931	Jia	2024	Journal of animal science and biotechnology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.778
vascular	10.1038/s41467-024-52922-1	PMC11447164	Dobner	2024	Nature communications	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
esophageal	10.1016/j.xpro.2024.103273	PMC11447403	Zhang	2024	STAR protocols	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.857
esophageal	10.1126/sciadv.adq0479	PMC11463268	Zhang	2024	Science advances	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
thyroid	10.1002/adhm.202201555	PMC11468662	Carvalho	2023	Advanced healthcare materials	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.75
cholangiocyte	10.1007/s10620-024-08570-y	PMC11489200	Frank	2024	Digestive diseases and sciences	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
esophageal	10.1038/s41588-024-01875-8	PMC11525200	Herms	2024	Nature genetics	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
endometrial	10.3389/fcell.2024.1482054	PMC11539068	Kleinová	2024	Frontiers in cell and developmental biology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
endometrial	10.21769/bioprotoc.5093	PMC11539961	Barbi	2024	Bio-protocol	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.3390/cancers16213664	PMC11544769	Randall-Demllo	2024	Cancers	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
endometrial	10.3390/cells13211811	PMC11545391	Jiang	2024	Cells	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
vascular	10.1038/s41586-024-08002-x	PMC11578897	Gopee	2024	Nature	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
prostate	10.1038/s43018-024-00838-6	PMC11584404	Romero	2024	Nature cancer	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
mammary	10.1101/gad.351455.123	PMC11610935	Wang	2024	Genes & development	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
bone	10.1016/j.bioactmat.2024.11.017	PMC11647664	Wang	2025	Bioactive materials	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
mammary	10.1038/s41523-024-00714-7	PMC11659324	Chang	2024	NPJ breast cancer	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.3390/biom14121560	PMC11674119	Kennedy	2024	Biomolecules	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1038/s41423-024-01242-x	PMC11685411	Lim	2025	Cellular & molecular immunology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
skin	10.1093/burnst/tkae077	PMC11697111	Wang	2025	Burns & trauma	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1016/j.crmeth.2024.100909	PMC11704619	Sharpe	2024	Cell reports methods	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.714
cholangiocyte	10.1016/j.crmeth.2024.100903	PMC11705766	Ye	2024	Cell reports methods	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.6
bladder	10.1038/s41588-024-02015-y	PMC11735410	Wang	2025	Nature genetics	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.625
skin	10.1093/burnst/tkae070	PMC11736897	Sun	2025	Burns & trauma	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
fallopian-tube	10.1186/s12951-024-03086-z	PMC11740664	Li	2025	Journal of nanobiotechnology	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
bladder	10.3389/fbioe.2024.1528658	PMC11743525	Zhang	2024	Frontiers in bioengineering and biotechnology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
cholangiocyte	10.3389/fbioe.2024.1501829	PMC11753252	Lei	2024	Frontiers in bioengineering and biotechnology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
salivary-gland	10.1186/s13619-025-00221-5	PMC11759724	Langthasa	2025	Cell regeneration (London, England)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
bone	10.12336/biomatertransl.2024.04.005	PMC11764188	Zhang	2024	Biomaterials translational	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.8
salivary-gland	10.12336/biomatertransl.2024.04.004	PMC11764189	Yang	2024	Biomaterials translational	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
neuromuscular	10.12336/biomatertransl.2024.04.003	PMC11764192	Huang	2024	Biomaterials translational	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.917
mammary	10.3390/ph18010062	PMC11769033	Feng	2025	Pharmaceuticals (Basel, Switzerland)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
prostate	10.1038/s44319-024-00335-y	PMC11772605	De Felice	2025	EMBO reports	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.857
neuromuscular	10.1038/s41598-025-88292-x	PMC11779978	Yu	2025	Scientific reports	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
cholangiocyte	10.1172/jci.insight.181857	PMC11790017	Calder	2024	JCI insight	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.714
bladder	10.1038/s41598-025-87509-3	PMC11794879	Sisakht	2025	Scientific reports	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.667
intestinal	10.1039/d4ra08290g	PMC11795259	Quacquarelli	2025	RSC advances	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.6
cholangiocyte	10.1242/dmm.050883	PMC11810045	Wu	2025	Disease models & mechanisms	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.75
cholangiocyte	10.1111/boc.202400132	PMC11823593	Dutta	2025	Biology of the cell	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
skin	10.1186/s13287-025-04210-y	PMC11846195	Chu	2025	Stem cell research & therapy	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
inner-ear	10.1016/j.stemcr.2024.12.001	PMC11864144	Arkenberg	2025	Stem cell reports	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.1007/s10911-025-09579-3	PMC11889037	Englund	2025	Journal of mammary gland biology and neoplasia	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
endometrial	10.1007/s00018-025-05627-7	PMC11904040	De Pauw	2025	Cellular and molecular life sciences : CMLS	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.9
skin	10.7150/thno.103221	PMC11905124	Wang	2025	Theranostics	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.1186/s12917-025-04657-4	PMC11921478	Feng	2025	BMC veterinary research	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
hepatic	10.3350/cmh.2024.1040	PMC11925438	Kim	2025	Clinical and molecular hepatology	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.833
bone	10.1186/s13619-025-00225-1	PMC11926310	De Pace	2025	Cell regeneration (London, England)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.667
bladder	10.34133/bmr.0171	PMC11931648	Yang	2025	Biomaterials research	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
vascular	10.1186/s40001-025-02491-w	PMC11963322	Wang	2025	European journal of medical research	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
esophageal	10.1016/j.jcmgh.2025.101466	PMC11964763	Lal	2025	Cellular and molecular gastroenterology and hepatology	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.75
vascular	10.1016/j.celrep.2024.115068	PMC11975460	Boutom	2024	Cell reports	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
vascular	10.1186/s13287-025-04317-2	PMC12023677	Ene	2025	Stem cell research & therapy	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
salivary-gland	10.1002/mco2.70195	PMC12046123	Tao	2025	MedComm	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.6
thyroid	10.34133/cbsystems.0107	PMC12063728	Yin	2024	Cyborg and bionic systems (Washington, D.C.)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
inner-ear	10.7150/thno.107345	PMC12068299	Carpena	2025	Theranostics	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.1186/s13058-025-02040-7	PMC12079957	Carlson	2025	Breast cancer research : BCR	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.571
cholangiocyte	10.1136/wjps-2025-001010	PMC12083310	Lui	2025	World journal of pediatric surgery	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.667
neuromuscular	10.1038/s41587-024-02344-7	PMC12091575	Price	2025	Nature biotechnology	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
endometrial	10.1242/dev.204461	PMC12091871	Fujimura	2025	Development (Cambridge, England)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
salivary-gland	10.1038/s41536-025-00410-5	PMC12095476	Aalam	2025	NPJ Regenerative medicine	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
